Rarely Offered 1 Bed + Den In The Explorer At Waterview!	1
Vaughan FURNISHED! 17th Floor! Bedroom w/ 2 Closets, Laminate Flooring	1
WALK OUT SMALL UNIT INCLUDE UTILITY	
Clean and Bright Bsmnt STUDIO Apt - Parking+Sep W/o - Imm./ Feb/ Mar	0
2 Bedroom Apartment for Rent in Little Italy	2
Etobicoke By Islington/Lake Shore Boulevard W 1BR Can be rented now	1
$1200 ALL INCLUDED Furnished 1 Bedroom Basement Brock & 401	1
Unique One Bed Plus Den in The Heart of The Village	1
Style and Grace in Rosedale	
Outstanding Annex 4 Bedroom Renovation	4
Unique Boutique Low Rise in Desirable Little Italy	
Yorkville One Bed plus Den One Bath	1
Prime Yorkville Executive 2 Bedroom 2.5 Bath	2
Furnished Heart of Yorkville One Bed plus Den	1
Restored Perfection in Trinity Bellwoods	
Eclectic and Cozy Little Italy	
Gracious Rosedale Home	
Vibrant Boutique Condo Located in The Riverdale Neighbourhood	
Stylish and Spacious Luxury 3-Bdrm Condo in The Entertainment District	3
Nice Studio apartment for MARCH 2019	0
NICE 1BEDROOM APARTMENT FOR MAY 2019	1
Spectacular Luxury Condo, Flr To Ceiling Windows & Spacious Balconies	
Scarborough Bluffs 2 Bedroom 2 Level Backs onto Park *Available Now	2
.Stunning Corner Unit 2 Bed + 2 Bath + Parking + Locker	2
Modern loft condo in the heart of Queen West w/ CN Tower View!	0
Luxury One Bedroom Condo - Leslie and Sheppard	1
Gorgeous 1 Bedroom Unit with stunning Lakeview!	1
Can be rented now 2 bdrm , heat hot water incl Scarborough Morningsid	2
1 BR Condo, Heart of Downtown Toronto - Spadina/Adelaide	1
One Bedroom Condo For Lease- Yonge and Eglinton-March 1st,2019	1
Bright & Spacious 1 Bedroom Condo W/Spectacular City View!	1
Spacious 1 Bedroom Toronto Apartment Available Immediately!	1
Magnificent Suite, Spacious Floor Plan W/Customized Stylish Flooring	
Renovated & Fully Furnished Beautiful Semi-Detached Home	
Just Renovated Fully Furnished Suite, ALL Inclusive	
Leslieville Furnished Rental on Queen Street	
Bright 2 Bedroom 2 Washroom Townhouse With 9Ft Ceilings	2
Mount Olive On Silverstone / Manfred Ave 3 BR Available March	3
Available now 2BR , heat hot water included Mississauga	2
3 bedrooms home near Scarborough town center	3
Never Before On The Market.This Home Has Been In The Same Family Since	
Charming 1BDRM - main floor w/ sunroom, yard and double garage	1
Elegant Condo at Bloor And South Kingsway	
Nice Condo at Bloor/Yonge/Church	
Great Detached Bungalow at Bayview/Sheppard	
Amazing Detached House at Marlee/Glencairn	
Spacious 1 Bedroom Condo	1
Spacious 1 Bedroom Condo for rent	1
Luxury units 1 Bedr, 33 Harbour Sq N, starting: 01-Apr	1
Beautiful new 2 Bedr, 295 Adelaide St W, Possession date: Immediate	2
Luxury units 2 Bedr, 290 Adelaide St W, Available: Immediate	2
BRAND NEW YC CONDOS #2501!2BEDS,2BATHS,BALCONY,DOWNTOWN TORONTO	2
BRAND NEW YC CONDOS#1911!3BEDS,2BATHS,PARKING,LOCKER,BALCONY,DTTORONTO	3
New Condos 1 Bedr, 101 Peter St E, Move in: Immediate	1
BRAND NEW YC CONDOS #1606!1BED+DEN,1BATH,BALCONY,DOWNTOWN TORONTO	1
3-Bdrm Main Floor in a Legal Duplex in North East Oshawa	3
stunning unit mins to downtown utilities/internet included i	
LARGE 2 Bed + Den, 2 Bath with Parking Downtown	2
Luxury units 1 Bedr, 375 King St W, starting: Imme	1
brand new never lived in before massive living room entertainment dist	
brand new never lived in before panoramic view over 600sqft!	
brand new never lived in before only $1850!	
2 bedroom downtown Toronto	2
queen west village locker included very spacious!	
Upscale Condo 1 Bedr, 352 Front St W, starting: March 1st/Tba	1
yorkville parking/locker included fully furnished over 900sqft!	
stunning townhouse parking included over 900sqft!	
stunning home attached garage modern home stand in shower!	
Beautiful new 1 Bedr, 525 Adelaide St W, ready for: Immediate	1
waterfront parking/locker/utilities included + den over 900sqft!	
For Lease: 2-Year New Custom-Built Home	
entertainment district utilities included fully furnished!	
New Condos 2 Bedr, 70 Temperance St, ready for: Immediate/Tba	2
One bedroom plus study in Luxury Chaz condos! - Yonge and Bloor!	1
Beautiful basement great location	
New Condos 1 Bedr, 87 Peter St, ready for: Imme	1
Fabulous Condos 1 Bedr, 10 Yonge St, Available: Immediate	1
BRAND NEW YC CONDOS #2002!STUDIO,1BATH,BALCONY,DOWNTOWN TORONTO	0
BRAND NEW YC CONDOS #3108!STUDIO,1BATH,BALCONY,DOWNTOWN TORONTO	0
Available March 1 BR , hot water included Newmarket	1
BRAND NEW YC CONDOS #1209!1BED+DEN,1BATH,BALCONY,DOWNTOWN TORONTO	1
Must see! Location!! March 1! Yonge-Eglinton! 1 large basement bedroom	1
BRAND NEW YC CONDOS #1209!1BED+DEN,1BATH,BALCONY,DOWNTOWN TORONTO	1
Must see! Location!! March 1! Yonge-Eglinton! 1 large basement bedroom	1
Modern 1 Bedroom + Den Condo, Walk to Subway	1
New 1-bedroom condo near Distillery District	1
Beautiful new 0 Bedr, 560 King St W, starting: Immediate	0
Furnished Basement Bachelor Apartment close to Wilson Station	0
Upscale Condo 2 Bedr, 10 York St, starting: Immediate	2
1 Bedroom Apartment Scarborough Rent Free Internet all included	1
New Condos 0 Bedr, 199 Richmond St W, Move in: Immediate	0
Boutique Apartment Near Yonge & Eglinton - WON'T LAST!	
Luxury units 1 Bedr, 228 Queens Quay W, Move in: 19-Mar	1
3 BDRM 2ND FLR, LIV ROOM, BRICK, LARGE CLOSETS, EAT-IN KIT, D/W, LNDRY	3
Free Rent downtown toronto to help with child and pet	
Fabulous Condos 1 Bedr, 68 Shuter St, Move in: 01-Mar-19	1
FURNISHED CONDO FOR RENT - CABLE & PARKING 2 Bedrm near Vic. Park Stn.	2
826SqFt- 2bed 2bath - 87 Peter - King St West	2
Grid Condo - 1bed move in now (dundas E/Jarvis)	1
The Eglinton-Belsize - 543 SqFt 1 + Den, 1 bath - $2200	1
GRID -New Build -1+den (can be 2nd bed) Suite 06	1
New Build - 2 bed - Grid - Jarvis and Dundas - Grid Suite 05 - M/I Now	2
Renovated Yorkdale Area Family House on a Large Lot	
Yonge/Finch Tridel Built 2+1 Bedroom Corner Unit! Steps To Subway	3
Wismer Community - Functional Layout W/4 Beds & 3 Full Baths - Apr 1st	4
Grid Condo (Ryerson) 1+Den (to be used as 2 bed) Move in now	1
New Build - 1bed - NOIR - Peter and King W - Nightlife	1
New Build - 1bed - NOIR - Peter and King W - Topaz Feb 1 M/I	1
Fabrik - 2B/2B - Richmond and Spadina - April move in	2
New Build - 2 bed - The Eglinton - Heath - March 13, 2019	2
The Eglinton / Redpath -Manor 1+den (can be 2 bed) 2bath April 28	1
Furnished 2-story Loft with Grand Piano, Garden	0
North York Near Dervock Cresent / Rean Drive 1 bdrm Move in now	1
Oakville 2260SF 4 Large Bedroom Townhouse + Furniture Included	4
Renovated 3+1 Br Detached - Walk To Ttc Subway - SS Appliances	4
Newly Renovated Walk-out Basement Apartment for Rent 3 Bedroom	3
1BDR - Dundas West & Bloor	1
Main TTC駅の近くの部屋	
2 Bedroom available near Yonge and Wellesley	2
Bright beautiful 1 Br Condo near Yonge and Wellesley. immediately.	1
Gorgeous 2 Bedroom Apartment	2
Newly Renovated 2 Bedroom apartment	2
Cute 2 Bedroom Apartment	2
Cozy and Warm 2 Bedroom Apartment	2
Vaughan New Townhome w/Walkout Basement 3 Bedroom 4 Washroom	3
Luxury 2 Split Br + Den Corner Unit In Waterfront Communities	2
NEW Luxury E Condo 1 Br+Den (can be 2nd Br w/Sliding Dr), 9Ft Ceiling	1
YC Condo-U of T Brand New Units for Rent-Start Jan/Feb 2019	
Mississauga 2 Br+Den w/Wrap Around Balcony All Inclusive, Walk To Sq1	2
NEW Lovely 3 Bedroom Townhouse In The Great Community In OAKVILLE	3
Markham Luxury 3 Bedroom Condo Townhouse w/ Finished Basement	3
In The Heart Of The Beach -3 Br+Den (can be 4th Bed) 1,264SF Townhome	3
Vaughan 2650SF 4 Bedroom 2 Baths Detached 2 Car Garage, Laundry Room	4
Roommate Required	
1100 Sq Foot Furnished Apt	
Chic Modern Whole 3rd Fl Apt - 3+1 Beds, Spa-Like Bath, Large Terrace	4
Vaughan 4 Bedroom Semi Detached - Large & Bright Corner Premium Lot	4
Furnished 5 Bedroom House - Yonge/Steeles	5
Vaughan 2 Large Bedroom+Den Apt, Walk Out Balcony+Utilities Included	2
3 BDRM 2ND FLR, LIV ROOM, BRICK, LARGE CLOSETS, EAT-IN KIT, D/W, LNDRY	3
Georgetown South - 4 Beds, 2nd Fl Has 2 Master W/ Ensuite, W/I Closet	4
Large Open Concept, Clean Basement in Corso Italia - May 1	
Designer 3 Bed w/ 99 Transit Score!! Unit overlooks High Park!!	3
Arista Built Freehold W/O To A Great Patio 3 Bedroom Double Car Garage	3
Bright and specious one bedroom basement for rent	1
Cozy basement apartment for rent	
Upper Level 2 Bedroom Apartment In Toronto's Beaches Area	2
Spacious 1 bedroom basement apartment	1
Markham 5 Br Detached Fully Fenced Backyard, Sep Entrance Basement	5
Fully Furnished 1 Bdrm Bsmnt	1
Huge 1 Bedroom Located in Mississauga Valleys	1
Luxury 1 Bdrm Apt in Sommerville Oshawa	1
One bedroom apartment available downtown Oshawa	1
LEGAL 1 BEDROOM + DEN BASEMENT APARTMENT - WHITBY	1
Great 1Bdr Located  in the heart of Olde Whitby.	1
One Bedroom All Inclusive Located In North Oshawa	1
1000sf FURNISHED South Lake View Luxe Condo Living + Parking	
1 BDRM - all incl. - March 1 move-in	1
Luxury On Theatre Row In King West, Steps To St Andrew Subway, Parking	
Fashion House In King West, One Bdrm +Den, Great Layout, Parking	1
Riverdale! Fully Furnished Modern Home, Chef's Kit.,3rd Floor Master	
Quiet, Friendly Street. Private Back Yard W/ Deck! 2 Car Parking	
Wallace Walk! 3 Bdrm+Den Corner Unit W/9 Ft Ceilings, Modern Finishes	3
Boutique Style Condo, Steps To Subway, High Park, Bloor West Village	
Quantum South Tower, Stunning S/W View,  2 + 1, Parking / Locker	3
stunning unit + den very luxurious brand new never lived in before!	
1 Bedroom Apartment near Bloor West Village and the Junction	1
Fantastic 2 Bedroom Suite In Sought-After Queen West Neighbourhood	2
Trinity Bellwoods, Modern Upgrades , Private Backyard, Garage Parking	
2 bedrooms 2 bathrooms  main floor apartment	2
Fully Furnished Condo Unit In Lake Shore Blvd	
3-Apts. totally renovated (Dupont&Dundas)	
March 1 $1695/month 1 bdrm Broadview N. of Cosburn	1
2 bedroom 2 washroom furnished unit in a luxury condo	2
Waterfront Condo W/Executive Lake View @ Marine Parade Dr	
Furnished 1BD + Den Executive Condo (Yonge & Eglinton)	1
Available March 2 bdrm , includes heat hot water Wexford	2
Yonge/ Finch Beautiful Two Storey 2 Bdrm Townhome	2
entertainment district parking/locker included indoor pool!	
Furnished Downtown Condo!	
Two  bedroom Lower Level in Forest Hill	2
Brand New Condo Corner Unit In Zorra St	
luxurious area spacious parking/locker included over 800sf only $1975!	
Pictures don't do this beautiful condo justice!	
1 Bedroom Waterfront	1
Bloor/Jarvis Breathtaking 2 Bdrm 2Bath  W Panoramic City & Lake Views	2
brand new parking included + den stunning unit!	
Large Apartment - MUST SEE IT !!!!!!	
Brand New 2 Bedroom Condominium In Gorgeous Gibson Square for Rent	2
stunning etobicoke home mins to ttc parking included recent renovation	
Brand New 2 Bedroom Condominium In Gorgeous Gibson Square for Rent	2
Awesome Studio Suite for rent brand new Lawrence Heights for rent	
Live in Liberty Village 2 Bedroom 1.5 Bathroom No Parking	2
DNA 3 -King West Move in Today 1 Bedroom Plus Den with Parking	1
Wilson Hts/Sheppard Rare  2 Bedroom Corner Penthouse	2
Beautiful 2 bedroom + 2 bathroom for lease!	2
Beautiful 1 Bedroom + Den Condo available for rent	1
1 BD  for March 2019.  Close to Islington Subway Station	1
Yonge/Jefferson Executive 4Bdrm/5Bath  Home In Jefferson Forest	4
Large 1 Bedroom - March 1 -OPEN HOUSE TODAY	1
Brand New 2 Bed 2 Bath Condo Suite At Flemington Rd	2
Available June 2 BR , includes heat hot water Mississauga	2
Spacious 3 bedroom Townhome for lease!	3
Bayview /Sheppard Stunning 1Bdrm +Den Condo	1
$2000 / 2br - Mississauga Condos For Rent/Lease - Square One	2
Luxury 2 Bedroom, 1 Bath Condo - Queen West Area	2
$1750/ 1br - Mississauga Condos For Rent/Lease - Square One	1
Beautiful 2 bedroom + den available for lease!	2
Bright & Spacious 1 Bedrm Unit With Parking 618 Sq Ft + 25 Sq Ft Balco	1
Yonge/Finch Bright & Spacious. One Bedroom + Den With Balcony	1
QUEEN WEST ON A BUDGET 1 BEDS UPPER UNIT	1
East York On Eastdale / Goodwood Park Crescent 1 bdrm Move in now	1
Cute And Stunning Private Bedroom Apartment	
Yonge/Eglinton Sunny & Bright 2 Bdrm Plus Den	2
MUST SEE BRAND NEW STUDIO QUEEN WEST ADDRESS	0
Brand New 2 bedroom in the AXIOM for lease	2
MUST SEE SPACIOUS 1+1 ENCLOSED DEN SALT WATER POOL PARK INCLD	2
POSHY SHERWAY GARDENS 2 BEDS 1 BATHS PARKING INCLD	2
NEXT TO KIPLING STATION OVER 900 SQ FT 1+1 PARKING INCLD	2
FORGET TORONTO PRICING 3 BEDS 3 BATHS NEAR SQ 1	3
TORONTO ADDRESS RARE VALUE 3 BEDS 2 BATHS CONDO	3
FORGET TORONTO PRICING 3 BEDS 2 BATHS OVER 1200 SQ FT	3
FORGET TORONTO PRICING 3 BEDS  2 BATHS SQ ONE ADDRESS	3
PRIME LOCATION CORNER UNIT SALT WATER POOL 2 BEDS 2 BATHS PARK INCLD	2
WON'T DISAPPOINTMENT BUDGET FRIENDLY 1 BED OVER 600 SQ FT PARK INCLD	1
MUST SEE ALL INCLUSIVE 4 BEDS QUEEN WEST LOCATION ALL INCLUSIVE	4
RARELY AVAILABLE NEXT TTC STATION 5 BEDS  3 BATHS	5
BRAND NEW 1 BED CONDO UPTOWN LOCATION	1
MUST SEE BRAND NEW ENTERTAINMENT DISTRICT HIGH FLOOR	
OVER 700 SQ ST PRIME LOCATION DOWNTOWN VIEWS 1+1 DEN CAN BE 2ND BED	2
WON'T LAST DOWNTOWN ADDRESS BRAND NEW 1+1 DEN HAS A DOOR	2
WON'T LAST ALL INCLUSIVE LITTLE ITALY LOCATION	
NEXT TO TTC/SUBWAY 2 BEDS 2 BATHS PARKING&LOCKER INCLD	2
2 STOREY LOFT 1+1 OVER 900 SQ FT PARKIN INCLD	2
BRAND NEW 1 BED INDOOR POOL OUTDOOR TERRACE MAKE YOUR MOVE	1
Affordable One Bedroom Clean Apartment	1
BRAND NEW HIGH FLOOR PRIME ENTERTAINMENT DISTRICT 1 BED	1
PENTHOUSE BRAND NEW 1 BED NOIR CONDOS MUST SEE	1
HERE IT STEPS TO TTC/SUBWAY 1+1 PARKING&LOCKER INCLD	2
GREAT APARTMENT IN EVEN BETTER LOCATION 2 BEDS 2 BATHS	2
BRAND NEW 1 BED CORSO ITALIA 1 BED HURRY IN HYDRO NOT INCLD	1
CORSO ITALIA GEM UPPER UNIT 1 BED	1
OVER  700 SQ FT 1 BED TORONTO ADDRESS NEXT TO TTC	1
ST CLAIR CORSO ITALIA 1 BED NEWLY RENOVATED	1
OVER 1100 SQ FT 2 BEDS 2 BATHS TTC AT FRONT DOOR PARKING INCLD	2
MILLION DOLLAR AMENITIES&LOCATION STUNNGLY UPGRADED	
WON'T LAST EXPOSED BRICK 2 BEDS LOWER LEVEL MUST SEE	2
WON'T LAST OVER 600 SQ FT 1 BED PARKING INCLD AMAZING AMENITIES	1
PARK INCLD LUXURIOUS FURNISHED 1 BED AMAZING AMENITIES BETTER LOCATION	1
MUST SEE BRAND NEW LUXURY 1 BED INFINITY SALT WATER POOL	1
OVER 700 SQ FT 1 BED PARKING INCLD STUNNING AMENITIES	1
MUST SEE RARE VALUE 1+1 SKYLINE VIEWS TTC AT FRONT DOOR	2
MUST UNHEARD OF VALUE 2 BEDS 1 BATH  LOWER UNIT PARKING INCLD	2
STUNNING PARKLAWN ADDRESS 1 BED PARKING INCLD	1
SQUARE ONE LOCATION 2 BEDS 2 BATHS PARKING INLCD	2
square one location over 760 sq ft 1+1 2 baths parking&locker incld	2
BRAND NEW 2+1 LUXURIOUS TOWN HOUSE PARKING INCLD	3
SQUARE ONE LOCATION 2 BEDS 2 BATHS CORNER UNIT PARKING INCLD	2
OVER 1000 SQ FT 2 BEDS 2 BATHS HUGE ROOFTOP TERRACE PARKING INCLD	2
HIGH PARK ADDRESS 3 BEDS 2 BATHS PARKING INCLUDED	3
Oakville On Marlborough and Trafalgar Road 2 bdrm Move in now	2
Large 2 Bedroom Quality Apartment	2
Bright South Facing 1 Bedroom Unit Boasts Panoramic Views Of The Park	1
Quiet One Bedroom Perfect Suite	1
Short Term Furnished Rental 1+1	2
Large Bright 2 bdrm units newly renovated totally	2
